"A new contact form has been sent for the following offer:";"Un nouveau formulaire de contact à été envoyé:"
"Add a position";"Créer une nouvelle offre"
"Add category";"Ajouter une catégorie"
"Add company";"Ajouter une société"
"Add place";"Ajouter un emploi"
"Address";"Addresse"
"Administrators";"Administrateurs"
"All fields are required !";"Tout les champs sont requis !"
"Alternate name for 'Company'";"Nom alternatif pour 'Entreprise'"
"Alternate name for 'Place'";"Nom alternatif pour 'Emploi'"
"Categories";"Catégories"
"Category";"Catégorie"
"Category enabled";"Catégorie activée"
"Close";"Fermer"
"Companies";"Sociétés"
"Company";"Société"
"Company enabled";"Société activée"
"Company saved.";"Société enregistrée"
"Contact form";"Formulaire de contact"
"Contract type";"Type de contrat"
"Create a new Category";"Ajouter une catégorie"
"Create a new company";"Ajouter une société"
"Create a new place";"Ajouter un emploi"
"Create a new position";"Créer une nouvelle offre"
"Description";"Description"
"Display Search";"Afficher la recherche"
"Display contact";"Affichage du contact"
"Display income";"Afficher la rémunération"
"Display place icon";"Afficher l'icône de l'offre"
"E-Mail";"Email"
"E-mail";"Email"
"Email";"E-mail"
"Email & Contact form";"E-mail & Formulaire de contact"
"Email successfully sent.";"Email envoyé avec succès"
"Employee count";"Nombre d'employés"
"Form error";"Erreur"
"General";"Général"
"Header";"Entête"
"Hidden";"Masqué"
"Icon";"Icône"
"Import a header";"Importer un entête"
"Import a header image";"Ajouter une illustration d'entête"
"Import a logo";"Importer un logo"
"Import an icon";"Importer une icône"
"Import an icon image";"Importer une icône"
"Income from:";"Rémunération entre:"
"Is active";"Publiée ?"
"Job";"Emploi"
"Keywords";"Mot clés"
"Logo";"Logo"
"Manage";"Gérer"
"Missing category_id";"Paramètre manquant category_id"
"Name";"Nom"
"New contact for: ";"Nouveau contact pour:"
"New contact for: %s";"Nouveau contact pour: %s"
"None";"Aucun"
"Place";"Emploi"
"Place enabled";"Emploi activé"
"Place saved.";"Emploi enregistrée"
"Place successfully deleted.";"Emploi supprimé."
"Places";"Emplois"
"Positions";"Offres"
"Success.";"Succès"
"Thank you";"Merci"
"The category you are trying to edit doesn't exists.";"La catégorie que vous tentez d'éditer n'existe pas."
"The company you are trying to edit doesn't exists.";"La société que vous tentez d'éditer n'existe pas."
"The place you are trying to edit doesn't exists.";"L'emploi que vous tentez d'éditer n'existe pas."
"This place is inactive.";"Cette annonce est désactivée"
"Use global configuration";"Utiliser le paramètre global"
"Website";"Site web"
"You are about to remove this Category ! Are you sure ?";"Vous êtes sur le point de supprimer cette catégorie ! Êtes vous sûr ?"
"You are about to remove this Company and all the associated Places ! Are you sure ?";"Vous êtes sur le point de supprimer cette société et tout les emplois associés ! Êtes vous sûr ?"
"You are about to remove this Place ! Are you sure ?";"Vous êtes sur le point de supprimer cet emploi ! Êtes vous sûr ?"
"You are not allowed to create a place for this company";"Vous n'êtes pas autorisé à créer un emploi pour cette société"
"to:";"et:"
"Contact e-mail";"E-mail de contact"
"Input your keywords ...";"Saisissez vos mot clés ..."
"Search";"Recherche"
"Distance";"Distance"
"City";"Ville"
"Select a city ...";"Saisissez une ville ..."
"Clear";"Effacer"
"Search...";"Recherche..."
"Locality";"Lieu"
"Full name";"Nom / Prénom"
"E-mail";"E-mail"
"Message";"Message"
"Submit";"Envoyer"
"Contact";"Contacter"
"My companies";"Mes sociétés"
"Create position";"Créer une offre"
"For more options use the editor";"Pour plus d'options, utilisez l'éditeur"
"Publish";"Publier"
"Manage company";"Editer la société"
"Save";"Sauvegarder"
"Manage place";"Editer l'offre"
"Views";"Vues"
"Keywords, coma separated";"Mot clés, séparés par une virgule"
"Form has the following errors";"Le formulaire et invalide"
"name":"nom"
"description";"description"
"icon";"icône"
"keywords";"mots-clés"
"website";"site web"
"email";"email"
"administrators";"administrateurs"
"location";"adresse"
"employee_count";"nombre d'employés"
"header";"entête"
"logo";"logo"
"display_contact";"afficher le contact"
"banner";"bannière"
"contract_type";"type de contrat"
"income_from";"revenus min"
"income_to";"revenus max"